Fund Holdings as of,"Apr 28, 2022"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"AAPL","APPLE INC","Equity","6.98","163.64","313,285.00","51,265,957.40","51,265,957.40","Information Technology","US0378331005","NASDAQ","United States","USD"
"MSFT","MICROSOFT CORP","Equity","5.37","289.63","136,197.00","39,446,737.11","39,446,737.11","Information Technology","US5949181045","NASDAQ","United States","USD"
"AMZN","AMAZON COM INC","Equity","3.43","2,891.93","8,714.00","25,200,278.02","25,200,278.02","Consumer Discretionary","US0231351067","NASDAQ","United States","USD"
"TSLA","TESLA INC","Equity","1.95","877.51","16,300.00","14,303,413.00","14,303,413.00","Consumer Discretionary","US88160R1014","NASDAQ","United States","USD"
"GOOGL","ALPHABET INC CLASS A","Equity","1.85","2,370.45","5,743.00","13,613,494.35","13,613,494.35","Communication","US02079K3059","NASDAQ","United States","USD"
"GOOG","ALPHABET INC CLASS C","Equity","1.77","2,388.23","5,459.00","13,037,347.57","13,037,347.57","Communication","US02079K1079","NASDAQ","United States","USD"
"NVDA","NVIDIA CORP","Equity","1.29","197.82","47,768.00","9,449,465.76","9,449,465.76","Information Technology","US67066G1040","NASDAQ","United States","USD"
"UNH","UNITEDHEALTH GROUP INC","Equity","1.28","524.42","17,949.00","9,412,814.58","9,412,814.58","Health Care","US91324P1021","New York Stock Exchange Inc.","United States","USD"
"FB","META PLATFORMS INC CLASS A","Equity","1.27","205.73","45,325.00","9,324,712.25","9,324,712.25","Communication","US30303M1027","NASDAQ","United States","USD"
"JNJ","JOHNSON & JOHNSON","Equity","1.26","183.46","50,407.00","9,247,668.22","9,247,668.22","Health Care","US4781601046","New York Stock Exchange Inc.","United States","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.12","331.27","24,884.00","8,243,322.68","8,243,322.68","Financials","US0846707026","New York Stock Exchange Inc.","United States","USD"
"PG","PROCTER & GAMBLE","Equity","1.03","163.41","46,335.00","7,571,602.35","7,571,602.35","Consumer Staples","US7427181091","New York Stock Exchange Inc.","United States","USD"
"XOM","EXXON MOBIL CORP","Equity","0.96","87.20","81,059.00","7,068,344.80","7,068,344.80","Energy","US30231G1022","New York Stock Exchange Inc.","United States","USD"
"V","VISA INC CLASS A","Equity","0.96","220.66","31,878.00","7,034,199.48","7,034,199.48","Information Technology","US92826C8394","New York Stock Exchange Inc.","United States","USD"
"JPM","JPMORGAN CHASE & CO","Equity","0.95","123.34","56,435.00","6,960,692.90","6,960,692.90","Financials","US46625H1005","New York Stock Exchange Inc.","United States","USD"
"MA","MASTERCARD INC CLASS A","Equity","0.86","378.83","16,705.00","6,328,355.15","6,328,355.15","Information Technology","US57636Q1040","New York Stock Exchange Inc.","United States","USD"
